2022-04-22 11:45:34.954674+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 11:45:34.954674+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 11:45:34.954674+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 11:45:34.954674+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 11:45:34.954674+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 11:45:34.954674+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
2022-04-22 12:16:40.630018+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_GT7_BUNDLE | Website: shopatsc | Status: 404 | URL: https://shopatsc.com/collections/playstation-5/products/playstation%C2%AE5-console-with-ps5-gran-turismo-7-standard-ed
